2025-06-23 16:01:04,415 - INFO - Frame processed in 702.20ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,455 - INFO - Frame processed in 19.73ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,488 - INFO - Frame processed in 18.48ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,521 - INFO - Frame processed in 21.65ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,552 - INFO - Frame processed in 20.50ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,582 - INFO - Frame processed in 19.97ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,613 - INFO - Frame processed in 20.34ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,643 - INFO - Frame processed in 19.37ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,673 - INFO - Frame processed in 19.21ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,702 - INFO - Frame processed in 19.56ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,732 - INFO - Frame processed in 19.48ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,762 - INFO - Frame processed in 18.89ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,793 - INFO - Frame processed in 19.72ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,825 - INFO - Frame processed in 21.43ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,855 - INFO - Frame processed in 19.91ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,888 - INFO - Frame processed in 19.18ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,919 - INFO - Frame processed in 19.93ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,949 - INFO - Frame processed in 19.34ms, Faces detected: 0, Best name: None
2025-06-23 16:01:04,981 - INFO - Frame processed in 19.92ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,011 - INFO - Frame processed in 19.87ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,044 - INFO - Frame processed in 22.32ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,089 - INFO - Frame processed in 20.05ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,121 - INFO - Frame processed in 20.63ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,151 - INFO - Frame processed in 19.86ms, Faces detected: 0, Best name: None
2025-06-23 16:01:05,194 - INFO - Frame processed in 31.68ms, Faces detected: 1, Best name: Unknown
2025-06-23 16:01:05,244 - INFO - Frame processed in 33.89ms, Faces detected: 1, Best name: Unknown
2025-06-23 16:01:05,290 - INFO - Frame processed in 33.07ms, Faces detected: 1, Best name: Unknown
2025-06-23 16:01:05,337 - INFO - Frame processed in 33.25ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,385 - INFO - Frame processed in 33.53ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,432 - INFO - Frame processed in 33.55ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,479 - INFO - Frame processed in 33.98ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,532 - INFO - Frame processed in 40.10ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,589 - INFO - Frame processed in 35.85ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,649 - INFO - Frame processed in 34.67ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,695 - INFO - Frame processed in 34.57ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,742 - INFO - Frame processed in 33.77ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,790 - INFO - Frame processed in 35.20ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,838 - INFO - Frame processed in 36.47ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,887 - INFO - Frame processed in 37.52ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:05,951 - INFO - Frame processed in 39.65ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,015 - INFO - Frame processed in 41.96ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,073 - INFO - Frame processed in 37.52ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,122 - INFO - Frame processed in 40.10ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,184 - INFO - Frame processed in 39.90ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,246 - INFO - Frame processed in 39.75ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,303 - INFO - Frame processed in 35.38ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,352 - INFO - Frame processed in 37.04ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,398 - INFO - Frame processed in 35.72ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,442 - INFO - Frame processed in 34.22ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,492 - INFO - Frame processed in 35.83ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,536 - INFO - Frame processed in 33.67ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,585 - INFO - Frame processed in 35.28ms, Faces detected: 1, Best name: tesoro
2025-06-23 16:01:06,619 - INFO - Frame processed in 24.16ms, Faces detected: 0, Best name: None
